ID,username
3707893403,ErwrightWright
509384598,HDRayRay
1287027289,Oldmancliff
1025466978591494145,realTTCU
760462423539187725,GeorgeW65525091
2470137595,rrasmussen5
1007288292,EnoughisEnoug13
328219283,terrie_hawkins
39412185,Dee601
708552551407468544,skallabard69
836006107,StopShariaLaw
550487203,jazz1294u
797122253997670400,AngRuffolo
951396292634144769,Gmiles13
819617534672519169,Ceeshell59
197993515,Wendyleethatsme
822300363483123712,aktweet123
346860388,BillboTex
1308854052,lindasch928
4100525847,routwithashout2
3433800394,LittleDavid55
67891277,MillieGouveia
29110336,nuzombie4
1013330785,eddieandgail1
930245052,tullyframe
911966929660850177,Flutterbug2222
3081927276,TxGal_InCali
821455436389945349,will4nbc
3326803669,MyUsabrighteyes
63998993,tonyavansant
778587091,DeniseAnn410
749184718654967808,KYReprisal
1494031898,dapincin
710677104518504453,WendyRich75
860627183156514816,JoanneSzafrani1
2552704560,victoria9965470
820810559557922816,theodrw77
747733245987536896,wright_buster
931144866729521152,moments_mar
713398464806313984,Astro00711
40708919,gennut
579489710,662dawg
2164770253,DavidHudson04
829849744948072448,LavenaGarcia
24787165,bluero
975259963,hms0813
816681443942342656,chenmarie39
468110721,A1lilDog
253431092,KimberlyLamky
828029515322400768,AnthonyMulquin2
792366452493938688,RenewSpiritual
758798943312420864,donhum47
796552626745868290,TammySp7772777
928149526409555968,Fightfortruth7
925480752644546565,WSMITHROOM101
27194016,KennyReck
2820622472,lrlowery1935
621138030,JD4A
760935700862758919,charleskirby981
117598897,littlebitz1551
826183698655670272,DcatGinger
1390829364,BoilerUp1997
959571943954567168,ConservativeCR
2740295187,kmeadows61
529035646,BarthRmb
836586598812766208,stopmooching
2767231405,cmorg54
800418633503510528,Ms_Bizzy57
985554043090202624,DPohocsucut
705881346,bduckss
823227625795649537,BarbaraGail5
885814224550809600,ArthurSteller
821683694,PTreasonReport
2986412740,cmoore91255
813995813143605249,LarryABaker4
732679571800268801,DrToddGieske
938475951461199872,deplorablemik11
2658228966,johnmckne
2495228196,leadfoot65
890705502,gwen2018wowway
702189717199007744,DebFul19
1519530739,jrt67
704048063061606401,larondeb
797903923147206656,origkatinsac
890223215511031808,Barnzie614
538602369,minna0914
872603667953848321,ndrrcjs
4020991703,mcnancy53
507159556,Disgusting3
817674933157367808,haye002
1713955530,BioExcel_Philly
822564845329518592,Tina4trump
193314240,khcarnes
64592409,TRUMPPRES2020
759177903506657280,JuliePorterj4
902575965825638400,Jahoun29
889582478360363008,MaryMagdalen777
934230470979739648,Busmanvw79
3306742388,dplrblme
948926197,JT_BLACKWELL
932055545451859968,Keala_hi
821158143723876352,DCompto79967079
706612612893573120,icemastersinc
817151358365270016,LisaDot13791775
863163460871499778,JosephZaragoz15
902861043365421057,alen_dean
214291865,brownslover01us
865518006100647938,JimMarhevka
817126875231297536,SandraG00495066
249483485,JConrad7250
191177209,onebusybeemom
3400894919,ESalvador21
3004912031,durandundee7105
713389618176135168,marsha2249
978697014115434497,Thomasmccool20
46966049,doctordrewl
172554247,amx1
2218586333,JHoltJr816
2712877389,rolltidecorndog
399617187,ConcernedAmeri2
364298687,granmanh
797579313541324800,AngadSj001
1566374298,joesmoo4
838481521,Lies509
100596971,Bodydoc2002
1604245345,TacticalPeace
817419139086254081,statum_mike
1336849248,RampantKam
894429025,PSU1Philly1
2829102558,DMaropoulos
936875437711491072,KenJack49647344
2180212290,big_t1981
1016092181222785026,FactsareReal1
772743506,MaureenJungblut
1232352379,ShowMeStately
1270436131,Ifishem
828093385391140865,Skern0223
784571212680790017,mdalex0121
3169088047,andylea52
3370944927,mmrtn237
1122930504,MrMarleyMar
846127897706446848,elephant1417
875720710634733568,danielem0617
783726491918012416,fortway6
706205246,Suebeth71
881055920851214336,RonaldLorenzen1
997525393023221761,jeffrey4363
833069298398662656,Johnflahomes
2798791881,skippsplace
824237854352113664,JasonTo10255606
19876846,DebiC37936
805428673,BeauCards
1001135748903514113,iwasher85704444
2878282025,micsterz1
513876919,mtaft48
882749520026771456,UniterOne01
954399709778477056,GinnyOBrien7
403693672,1_bammom
827280123732779011,kef2016
713789589261930496,bsmithmd3631
2389326866,TexasTejano1
818325161870884864,ClaraDelayo
739100977085566977,HammUSMCretired
886066660951678977,haze_kl
359327898,junebug3122
51282467,mb103051
760855343396114432,biighub
753737970050535424,BinnsRonnie
805432001939591168,magliaro_tony
191583920,NorthboundRN
264317200,rickeycausey
600640132,bornsunshine
2765123710,LoisLowrance
757769978909188096,FloridaladyJudy
17380330,Train2020Trump
48341114,ssl57
724536246,Xerravon
787145638282571776,BillieStelzner
952660037935206401,ValeriWelter
933118765214191616,PamCouch87
1112600274,ALEMOsirius
802913348107063297,southberryst
1334108503,MAGA_Cy
2356728374,wynnesea
392221003,RichardGillia
3313720503,colleen_camara
868628946988003330,Melissa97563437
33930479,gramps97
817448159022608388,caggian2
2500906277,BiscuitomMarlne
447584227,j74_tee
824390949178576896,RitaWil92435229
41205224,NPAALLDAY
757357942165217280,Cor48Pena
801173700838096897,Smokeysmom68
787944571451965440,mothertmaz
603199751,jimmie0631
795725341851467776,Kiwinanrulz
872826486952124416,RobertR06045080
834538076,BrianTaylor320
860089052128784384,MikeHutchens4
2824812649,thehajdik1
949329286959390720,AdamMcL43944455
16584357,HEBEME
804098883693531149,Christi39126299
62259750,shines46
2292120940,jodi_my_101
389039294,lowkeynokey
23197499,boehmeb
1004045586881015808,BTeef
233765520,jackhowell55
126035176,challandusa
838417528565157891,SheilaLuce2
3409215640,greg_szczeb
3020881697,WhiteSandKAG
989857241535864832,josieQvfefe
328673472,SteveBaumgartne
989317507818209281,SSJQ5
906252775918534656,dawsonabner7
996079047745638400,thor1usa
985385367892385792,SinaiGail9
994962553645170688,Lilluu791
991520097238945792,JamesSidapa67
972264728604151808,SchoolingLibs
986350231771144194,AmorPetriae1776
3063015447,ann_madame
976915671375405056,JeffHam40469629
4496345055,NeverForget56
989217851302141952,PatRedwhiteblue
