"id","name","screen_name","statuses_count","followers_count","friends_count","favourites_count","listed_count","url","lang","time_zone","location","default_profile","default_profile_image","geo_enabled","profile_image_url","profile_banner_url","profile_use_background_image","profile_background_image_url_https","profile_text_color","profile_image_url_https","profile_sidebar_border_color","profile_background_tile","profile_sidebar_fill_color","profile_background_image_url","profile_background_color","profile_link_color","utc_offset","is_translator","follow_request_sent","protected","verified","notifications","description","contributors_enabled","following","created_at","timestamp","crawled_at","updated"
"2372241176","Denna Mcsparren","DennaMcsparren","53","10","46","0","0",,"en",,,,,,"http://pbs.twimg.com/profile_images/441466695253622785/xr6lcw13_normal.jpeg",NULL,"1","https://pbs.twimg.com/profile_background_images/441466715214336000/oy8jsAqq.jpeg","333333","https://pbs.twimg.com/profile_images/441466695253622785/xr6lcw13_normal.jpeg","FFFFFF","1","DDEEF6","http://pbs.twimg.com/profile_background_images/441466715214336000/oy8jsAqq.jpeg","0000FF","0000FF",,,,,,,,,,"Tue Mar 04 18:11:08 +0000 2014","2014-03-04 19:11:08","2014-05-05 00:20:03","2016-03-15 15:02:07"
"2368684734","Yukiko Tretter","YukikoTretter","68","4","40","0","0",,"en",,,,,,"http://pbs.twimg.com/profile_images/441478842834616320/TRKL2sEb_normal.jpeg",NULL,"1","https://pbs.twimg.com/profile_background_images/441478867765567490/Pi15ODiC.jpeg","333333","https://pbs.twimg.com/profile_images/441478842834616320/TRKL2sEb_normal.jpeg","FFFFFF","1","DDEEF6","http://pbs.twimg.com/profile_background_images/441478867765567490/Pi15ODiC.jpeg","0000FF","0000FF",,,,,,,,,,"Sun Mar 02 10:38:13 +0000 2014","2014-03-02 11:38:13","2014-05-05 00:20:47","2016-03-15 15:02:07"
"2353855646","Rochel Amaro","RochelAmaro","79","9","39","0","0",,"en",,,,,,"http://pbs.twimg.com/profile_images/437372003444457472/uOlW48ut_normal.jpeg",NULL,"1","https://pbs.twimg.com/profile_background_images/437372019626110976/YpJ_sSqX.jpeg","333333","https://pbs.twimg.com/profile_images/437372003444457472/uOlW48ut_normal.jpeg","FFFFFF","1","DDEEF6","http://pbs.twimg.com/profile_background_images/437372019626110976/YpJ_sSqX.jpeg","0000FF","0000FF",,,,,,,,,,"Thu Feb 20 22:28:03 +0000 2014","2014-02-20 23:28:03","2014-05-05 00:20:03","2016-03-15 15:02:08"
"2372322542","Brandi Babin","BrandiBabin","59","1","39","0","0",,"en",,,,,,"http://pbs.twimg.com/profile_images/441472146447953920/aUuSdyZz_normal.jpeg",NULL,"1","https://pbs.twimg.com/profile_background_images/441472159152476161/TtLtquwA.jpeg","333333","https://pbs.twimg.com/profile_images/441472146447953920/aUuSdyZz_normal.jpeg","FFFFFF","1","DDEEF6","http://pbs.twimg.com/profile_background_images/441472159152476161/TtLtquwA.jpeg","0000FF","0000FF",,,,,,,,,,"Tue Mar 04 19:52:10 +0000 2014","2014-03-04 20:52:10","2014-05-05 00:20:03","2016-03-15 15:02:08"
"2352506778","Chung Posadas","ChungPosadas","73","7","36","0","0",,"en",,,,,,"http://pbs.twimg.com/profile_images/437361963190865920/mS6wNnVa_normal.jpeg",NULL,"1","https://pbs.twimg.com/profile_background_images/437361978864959489/pWlWPu-i.jpeg","333333","https://pbs.twimg.com/profile_images/437361963190865920/mS6wNnVa_normal.jpeg","FFFFFF","1","DDEEF6","http://pbs.twimg.com/profile_background_images/437361978864959489/pWlWPu-i.jpeg","0000FF","0000FF",,,,,,,,,,"Thu Feb 20 01:34:19 +0000 2014","2014-02-20 02:34:19","2014-05-05 00:20:03","2016-03-15 15:02:09"
"2349093944","Twyla Jarnagin","TwylaJarnagin","65","3","38","0","0",,"en",,,,,,"http://pbs.twimg.com/profile_images/436133011763892224/QcLsx5Pi_normal.jpeg",NULL,"1","https://pbs.twimg.com/profile_background_images/436133030483091456/stUzNlZh.jpeg","333333","https://pbs.twimg.com/profile_images/436133011763892224/QcLsx5Pi_normal.jpeg","FFFFFF","1","DDEEF6","http://pbs.twimg.com/profile_background_images/436133030483091456/stUzNlZh.jpeg","0000FF","0000FF",,,,,,,,,,"Mon Feb 17 21:29:40 +0000 2014","2014-02-17 22:29:40","2014-05-05 00:20:03","2016-03-15 15:02:09"
"2353568059","Dinorah Lattea","DinorahLattea","67","3","40","0","0",,"en",,,,,,"http://pbs.twimg.com/profile_images/437370905480536064/7QNd0D78_normal.jpeg",NULL,"1","https://pbs.twimg.com/profile_background_images/437370916960350208/zfVcK1uf.jpeg","333333","https://pbs.twimg.com/profile_images/437370905480536064/7QNd0D78_normal.jpeg","FFFFFF","1","DDEEF6","http://pbs.twimg.com/profile_background_images/437370916960350208/zfVcK1uf.jpeg","0000FF","0000FF",,,,,,,,,,"Thu Feb 20 17:33:05 +0000 2014","2014-02-20 18:33:05","2014-05-05 00:20:03","2016-03-15 15:02:09"
"2374895658","Tonie Sabella","TonieSabella","43","4","33","0","0",,"en",,,,,,"http://pbs.twimg.com/profile_images/442948109249699840/vrS3ndgM_normal.jpeg",NULL,"1","https://pbs.twimg.com/profile_background_images/442948152627175424/z8V7pWyc.jpeg","333333","https://pbs.twimg.com/profile_images/442948109249699840/vrS3ndgM_normal.jpeg","FFFFFF","1","DDEEF6","http://pbs.twimg.com/profile_background_images/442948152627175424/z8V7pWyc.jpeg","0000FF","0000FF",,,,,,,,,,"Thu Mar 06 06:01:31 +0000 2014","2014-03-06 07:01:31","2014-05-05 00:20:03","2016-03-15 15:02:10"
"2384331992","Ashely Dentino","AshelyDentino","43","3","39","0","0",,"en",,,,,,"http://pbs.twimg.com/profile_images/444862082270261249/e_a4iHRo_normal.jpeg",NULL,"1","https://pbs.twimg.com/profile_background_images/444862106198745088/Fqxop_0Z.jpeg","333333","https://pbs.twimg.com/profile_images/444862082270261249/e_a4iHRo_normal.jpeg","FFFFFF","1","DDEEF6","http://pbs.twimg.com/profile_background_images/444862106198745088/Fqxop_0Z.jpeg","0000FF","0000FF",,,,,,,,,,"Tue Mar 11 23:31:07 +0000 2014","2014-03-12 00:31:07","2014-05-05 00:21:45","2016-03-15 15:02:10"
"2353833049","Roseline Sheltra","RoselineSheltra","67","2","24","0","0",,"en",,,,,,"http://pbs.twimg.com/profile_images/437370809930108928/RsxIlhgl_normal.jpeg",NULL,"1","https://pbs.twimg.com/profile_background_images/437370827000934400/MpSGfIs3.jpeg","333333","https://pbs.twimg.com/profile_images/437370809930108928/RsxIlhgl_normal.jpeg","FFFFFF","1","DDEEF6","http://pbs.twimg.com/profile_background_images/437370827000934400/MpSGfIs3.jpeg","0000FF","0000FF",,,,,,,,,,"Thu Feb 20 21:51:00 +0000 2014","2014-02-20 22:51:00","2014-05-05 00:20:03","2016-03-15 15:02:10"
"2383025796","Minnie Guadagno","MinnieGuadagno","42","7","41","0","0",,"en",,,,,,"http://pbs.twimg.com/profile_images/444784542797164544/hnIp9F0p_normal.png",NULL,"1","https://pbs.twimg.com/profile_background_images/444784589911781376/_F-AnL2Z.jpeg","333333","https://pbs.twimg.com/profile_images/444784542797164544/hnIp9F0p_normal.png","FFFFFF","1","DDEEF6","http://pbs.twimg.com/profile_background_images/444784589911781376/_F-AnL2Z.jpeg","0000FF","0000FF",,,,,,,,,,"Tue Mar 11 02:44:13 +0000 2014","2014-03-11 03:44:13","2014-05-05 00:20:03","2016-03-15 15:02:11"
"2384166104","Hope Konicki","HopeKonicki","45","4","42","0","0",,"en",,,,,,"http://pbs.twimg.com/profile_images/445011611988680705/8d0dkVo-_normal.jpeg",NULL,"1","https://pbs.twimg.com/profile_background_images/445011637490036736/WawyYatZ.jpeg","333333","https://pbs.twimg.com/profile_images/445011611988680705/8d0dkVo-_normal.jpeg","FFFFFF","1","DDEEF6","http://pbs.twimg.com/profile_background_images/445011637490036736/WawyYatZ.jpeg","0000FF","0000FF",,,,,,,,,,"Tue Mar 11 20:25:36 +0000 2014","2014-03-11 21:25:36","2014-05-05 00:20:34","2016-03-15 15:02:11"
"2361880260","Penni Kamm","PenniKamm","43","8","39","0","0",,"en",,,,,,"http://pbs.twimg.com/profile_images/438683199615410176/h5YAEET-_normal.jpeg",NULL,"1","https://pbs.twimg.com/profile_background_images/438683218976333826/mAkUFBiv.jpeg","333333","https://pbs.twimg.com/profile_images/438683199615410176/h5YAEET-_normal.jpeg","FFFFFF","1","DDEEF6","http://pbs.twimg.com/profile_background_images/438683218976333826/mAkUFBiv.jpeg","0000FF","0000FF",,,,,,,,,,"Wed Feb 26 00:53:29 +0000 2014","2014-02-26 01:53:29","2014-05-05 00:21:59","2016-03-15 15:02:11"
